trade_date,open,high,low,close,adj_close,volume
2021-04-12,112.71,112.84,111.39,112.23,112.23,25024000
2021-04-13,112.55,113.17,112.15,112.72,112.72,25682000
2021-04-14,113.37,113.37,111.8,112.1,112.1,21002860
2021-04-15,113.1,114.8,112.56,114.26,114.26,29174980
2021-04-16,114.46,114.71,113.55,114.14,114.14,26282780
2021-04-19,113.51,115.2,113.51,114.49,114.49,30290000
2021-04-20,114.87,114.95,112.86,113.95,113.95,22288320
2021-04-21,113.6,114.0,112.24,113.92,113.92,23204180
2021-04-22,113.77,114.44,112.02,112.63,112.63,24146000
2021-04-23,113.35,115.31,113.06,115.0,115.0,29111080
2021-04-26,115.23,116.23,114.87,115.5,115.5,32038000
2021-04-27,115.88,115.92,114.31,114.55,114.55,44386000
2021-04-28,119.62,121.57,117.66,117.95,117.95,81106800
2021-04-29,119.46,120.21,118.69,119.64,119.64,41234000
2021-04-30,118.4,119.09,117.33,117.68,117.68,44856760
2021-05-03,118.25,119.08,116.78,117.15,117.15,28242780
2021-05-04,115.68,116.25,112.83,115.34,115.34,44818640
2021-05-05,116.43,116.75,115.41,115.74,115.74,26636180
2021-05-06,115.32,116.87,114.65,116.87,116.87,25190460
2021-05-07,118.19,118.56,117.31,117.6,117.6,28898000
2021-05-10,116.41,116.55,114.23,114.59,114.59,30914580
2021-05-11,112.15,114.01,111.7,113.5,113.5,34186000
2021-05-12,111.31,112.4,109.68,110.01,110.01,46376000
2021-05-13,111.31,111.97,110.34,111.45,111.45,33220400
2021-05-14,112.93,114.24,112.5,113.92,113.92,31996580
2021-05-17,113.18,114.49,112.78,114.45,114.45,21598000
2021-05-18,115.12,115.38,113.11,113.12,113.12,22204000
2021-05-19,111.42,113.75,111.27,113.58,113.58,23684100
2021-05-20,114.55,115.6,114.18,115.35,115.35,32352000
2021-05-21,115.87,115.94,114.47,114.71,114.71,40632000
2021-05-24,115.74,118.28,115.6,118.05,118.05,31832200
2021-05-25,118.6,119.2,117.75,118.14,118.14,22440000
2021-05-26,118.33,119.45,118.32,119.02,119.02,21572000
2021-05-27,119.45,119.45,117.81,118.13,118.13,35224020
2021-05-28,118.72,118.8,117.64,117.84,117.84,21490800
2021-06-01,118.72,119.29,117.71,119.06,119.06,23358020
2021-06-02,119.46,119.68,117.62,118.53,118.53,21162920
2021-06-03,117.29,117.85,116.48,117.38,117.38,18696000
2021-06-04,118.46,119.95,118.12,119.68,119.68,24458200
2021-06-07,119.47,120.23,119.05,120.12,120.12,24120000
2021-06-08,120.6,120.98,119.74,119.92,119.92,24240000
2021-06-09,120.57,120.64,119.85,120.4,120.4,17942000
2021-06-10,120.35,121.8,120.19,121.76,121.76,25907500
2021-06-11,122.0,122.09,120.95,121.51,121.51,21958140
2021-06-14,121.61,122.45,120.9,122.45,122.45,22098000
2021-06-15,122.45,122.78,121.06,121.42,121.42,21562140
2021-06-16,121.57,121.89,119.47,120.77,120.77,26472000
2021-06-17,120.7,122.52,120.5,121.74,121.74,25848880
2021-06-18,121.37,121.6,120.02,120.11,120.11,46116000
2021-06-21,120.5,122.0,119.9,121.81,121.81,27414000
2021-06-22,121.75,122.4,121.06,122.33,122.33,22390200
2021-06-23,122.09,123.1,121.83,122.13,122.13,19154160
2021-06-24,122.7,123.06,122.3,122.5,122.5,21365140
2021-06-25,122.0,122.63,121.57,122.51,122.51,34596380
2021-06-28,122.68,122.78,121.41,122.54,122.54,28526000
2021-06-29,122.67,123.02,121.69,122.27,122.27,23108720
2021-06-30,121.99,122.26,121.35,122.09,122.09,24474000
2021-07-01,121.73,122.59,121.53,122.44,122.44,18112820
2021-07-02,123.15,125.4,123.06,125.26,125.26,26002180
2021-07-06,125.65,126.43,124.58,126.19,126.19,26404000
2021-07-07,127.16,127.28,126.15,126.47,126.47,24060000
2021-07-08,124.03,125.6,124.02,125.04,125.04,23790000
2021-07-09,125.03,125.73,124.55,125.52,125.52,18632000
2021-07-12,126.18,127.07,125.61,126.98,126.98,17668000
